bench_id,workflow,task,sem_tags,query
tonight_hard_line_186,"Execution, Monitoring, Reporting, and Operations",Client review report,DB4;DB6;DB9;EG2;QV2,"Create an issuer concentration exception report for Oakline Dividend Strategy. Use a two-row table for market-value concentration and income concentration, compare Fairoaks Utilities with each stated limit, classify the exception status, include the monitoring action required by the workflow, compare month-to-date return with the benchmark, and avoid recommending an immediate sale if the ex-dividend blocker applies Frame the note for inclusion in a client review package. Produce the issuer concentration exception report under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the issuer concentration exception report with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_297,"Execution, Monitoring, Reporting, and Operations",Client review report,DB4;DB6;DB9;EG2;QV2,"Draft a restricted holding monitoring alert for Willow ESG Mandate. Identify each restricted issuer with nonzero exposure, show the exposure percentage and source, classify the exposure as Direct or Indirect, state whether Compliance escalation is required, compare portfolio return with the ESG benchmark, and do not suggest instructing the index manager to remove a security Frame the note for inclusion in a client review package. Produce the restricted holding monitoring alert under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the restricted holding monitoring alert with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the restricted holding monitoring alert with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_073,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB7;DB9;EG1;EG2;QV2;QV6,"Prepare a revenue cut-off close workpaper for Maple Devices December 2026. Use only the provided documents, cite visible material labels, list each sampled invoice, compare shipment date with recorded revenue date, identify premature revenue or missing shipment evidence, calculate the proposed deferral amount, and state whether controller approval is required for the correcting entry. Produce the revenue cut-off close workpaper under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication. Open the revenue cut-off close workpaper with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_103,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB4;DB7;DB9;EG1;EG2;QV2;QV6,"Draft a lease remeasurement close memo for Orion Warehousing August 2026. Use only the provided documents, cite visible material labels, identify the modification event, compare existing lease liability with revised present value, compute the remeasurement adjustment, verify reviewer approval status, and decide whether the entry can be posted. Produce the lease remeasurement close memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication. Open the lease remeasurement close memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_183,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB9;EG1;EG2;QV2;QV6,"Prepare an accounts payable cutoff exception note for Keystone Labs October 2026. Use only the provided documents and cite visible material labels. Compare each sampled invoice service date with recording period, identify missing accruals and premature accruals, calculate the net proposed cutoff adjustment, list missing receiving evidence, and state whether any item is a close blocker. Produce the accounts payable cutoff exception note under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication. Open the accounts payable cutoff exception note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_249,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB4;DB9;EG1;EG2;EG4;QV2;QV6,"Prepare a disclosure support tie-out note for Orchard Bank Q2 2026. Use only the provided documents, cite visible material labels for each disclosed amount, compare the draft footnote to trial-balance and Treasury support, compute differences for total commitments and unused commitments, identify unresolved mismatches, and decide whether reporting-manager escalation is required. Produce the disclosure support tie-out note under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication. Open the disclosure support tie-out note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_263,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB7;DB9;EG1;EG2;QV2;QV6,"Prepare a foreign currency translation close check for Meridian Europe. Use only the provided documents, cite visible material labels, compare the workbook FX rate with the approved Treasury rate, compute the USD impact of the rate difference on net assets, identify whether CTA should be revised, and state whether consolidation manager approval is required before package lock. Produce the foreign currency translation close check under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication. Open the foreign currency translation close check with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_267,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB4;DB7;DB9;EG1;EG2;EG5;QV2,"Draft a late adjustment approval memo for Summit Media October 2026. Use only the provided documents and cite visible material labels. State the JE amount, account impact, reason, approvals obtained and missing, test the request against the LA-1 post-distribution threshold, and decide whether package reissue is permitted without saying it has been reissued. Produce the late adjustment approval memo under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome. Open the late adjustment approval memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the late adjustment approval memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_021,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB1;DB9;EG1;EG2;EG5;QV2,"Prepare a construction loan draw review for Lakeshore Mixed-Use LLC. Calculate maximum cumulative funding supported by inspector completion percentage, compare it with prior draws plus Draw 4, identify missing lien waiver evidence, and recommend Fund, Partial Fund, or Hold with the unsupported amount if any. Use only the provided documents and cite the visible material labels for material facts. Produce the construction loan draw review under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the construction loan draw review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_088,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,"Prepare a post-investment liquidity runway review for OrbitMed Devices. Calculate months of runway, compare it with the 9-month requirement and the 2027-02-15 milestone timing, state whether bridge financing evidence is documented, and do not assume new financing. Use only the provided documents and cite the visible material labels for material facts. Produce the post-investment liquidity runway review under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the post-investment liquidity runway review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_206,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,"Write an investment thesis update for LumenGrid Analytics. Separate original thesis points, current evidence, and management explanations; classify ARR, net revenue retention, and pilot conversion as On Track, At Risk, or Broken; calculate the ARR shortfall versus plan; and do not recommend additional capital. Use only the provided documents and cite the visible material labels for material facts. Produce the investment thesis update under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the investment thesis update with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_262,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,"Build a post-loan annual review action plan for Willow Creek Specialty Chemicals. Group each item as Covenant, Documentation, or Business Update; test DSCR and leverage against their covenants; assign owner, due date, and Open, Completed, or Escalate status; and make sure the leverage breach is not treated as only a documentation request. Use only the provided documents and cite the visible material labels for material facts. Produce the post-loan annual review action plan under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the post-loan annual review action plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the post-loan annual review action plan with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_358,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,"Create a post-close covenant review table for Maple Grove Distribution Inc. with columns Requirement, Deadline, Evidence Status, Test Result, Exception Yes/No, and Next Step. Test availability against the $7.5 million minimum, identify missing evidence after the 45-day deadline, and state whether the package can be marked complete. Use only the provided documents and cite the visible material labels for material facts. Produce the post-close covenant review table under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the post-close covenant review table with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_067,"Execution, Monitoring, Reporting, and Operations",Reconciliation,DB4;DB7;DB9;EG1;EG2;EG5;QV2,"Build a cash ledger break table for Oakline Treasury Sweep. Start from the bank statement and internal cash ledger balances, subtract only the documented deposit in transit, compute the adjusted cash variance, apply the $100 open-break threshold, assign the owner, include an aging bucket, and list the records that must remain traceable. Use only the provided materials and do not mark the item reconciled if the adjusted break remains above threshold. Produce the cash ledger break table under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the cash ledger break table with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the cash ledger break table with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_200,"Execution, Monitoring, Reporting, and Operations",Reconciliation,DB8;DB9;EG2;EG5;QV2,"Open a repo collateral reconciliation ticket for Ivory Repo Desk. Compare required collateral with the counterparty accepted value, calculate any collateral shortfall, measure the internal-versus-counterparty value difference, apply the $25,000 dispute threshold, and note whether a haircut dispute note is missing. Produce the repo collateral reconciliation ticket under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the repo collateral reconciliation ticket with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the repo collateral reconciliation ticket to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_053,Intake and Profiling,Client risk profiling,DB6;DB9;EG2;QV2,"For Ingrid Novak, produce a mini stress-capacity table showing the effect of a 15% portfolio decline and the planned cash withdrawal. Then classify capacity as Low, Borderline, or Sufficient under policy and state one intake follow-up if the classification is not Sufficient. Produce the mini stress-capacity table under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the mini stress-capacity table with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_360,Intake and Profiling,Client risk profiling,DB5;DB6;DB9;EG2;EG5;QV2,"Create a concise corrected-profile note for Mei Lin after she amended her questionnaire. Show which prior answers are superseded, recalculate the risk class using the amended answers only, preserve an audit trail of the old answers, and do not delete the contradiction history. Produce the corrected-profile amendment note under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the corrected-profile amendment note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the corrected-profile amendment note to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_017,Intake and Profiling,Counterparty / issuer profile construction,DB4;DB6;DB9;EG1;EG2;QV2,"Build a trading counterparty limit intake note for Fenwick Grain Cooperative. Use only the context. Show the requested limit as a percentage of tangible net worth, identify any limit-size exception, and classify the intake action as proceed to Credit Risk review, return for information, or block setup. Include legal identity, instrument type, collateral, agreement status, settlement instructions, current exposure, and screening, with document-id citations for exceptions. Do not approve the requested limit. Produce the trading counterparty limit intake under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the trading counterparty limit intake with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the trading counterparty limit intake with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_038,Intake and Profiling,Counterparty / issuer profile construction,DB4;DB7;DB9;EG1;EG2;QV2,"Build a green bond issuer use-of-proceeds profile for Prairie Loop Transit Authority relying only on the context. Summarize project categories, allocation amounts, unallocated proceeds, governance, reporting commitment, external review status, and missing evidence. Calculate unallocated proceeds percentage, flag green-bond intake concerns from the standard, cite visible material labels for concerns, and do not call the bond green-certified unless external review evidence is supplied. Produce the green bond issuer use-of-proceeds profile under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the green bond issuer use-of-proceeds profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_101,Intake and Profiling,Counterparty / issuer profile construction,DB4;DB8;DB9;EG1;EG2;EG5;QV2,"Prepare a revenue concentration profile for Rowan Analytics Inc. using only the supplied context. Present Supplied Facts and Analyst Observations separately. Calculate top-three customer concentration, test the single-customer and top-three thresholds, cite visible material labels for concentration concerns, include contract renewal timing for the named customers, and do not recommend whether to invest in the convertible note. Produce the revenue concentration profile under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the revenue concentration profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_143,Intake and Profiling,Counterparty / issuer profile construction,DB5;DB7;DB8;DB9;EG1;EG2;FP2;RC4,"Write a missing profile fields note for Calder Medical Devices SA. Use only the context. Make a table with Required Field, Present Evidence, Gap Type, and Next Evidence Needed. Apply the minimum-field policy to label each gap as blocker or follow-up, cite visible material labels for present-but-incomplete evidence, include at least one next evidence item for every gap, and do not treat pending screening as complete. Produce the missing profile fields note under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet. Open the missing profile fields note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_150,Intake and Profiling,Counterparty / issuer profile construction,DB4;DB6;DB9;EG1;EG2;EG5;QV2,"Assemble a payment processor counterparty profile for Quayline Payments Inc. from the supplied context only. Use bullet groups for Merchant Mix, Operating Footprint, Risk Metrics, Control and Ownership, Screening, and Intake Completeness. Compare the chargeback rate to the 1.00% concern threshold, identify any missing data-security evidence, cite visible material labels for concerns, classify the intake as complete, incomplete, or concern-triggered, and do not approve payment processing exposure. Produce the payment processor counterparty profile under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the payment processor counterparty profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the payment processor counterparty profile to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_202,Intake and Profiling,Counterparty / issuer profile construction,DB4;DB6;DB7;DB9;EG2;FP1;FP2;QV2,"Create a counterparty onboarding profile for North Pier Metals Ltd. Use only the supplied context. Present a two-column table with Field and Intake Status, then add a short Interim Status paragraph. Cover authority, LEI, settlement bank, expected activity, ownership/control, and screening. cite visible material labels for each blocker, classify the interim status as ready, conditional, or blocked, and avoid saying the counterparty may trade now. Produce the counterparty onboarding profile under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; use only packet-supported category, status, classification, or risk-level labels; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the counterparty onboarding profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the counterparty onboarding profile with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
